,lat,lon,slp_new,uwind_new,vwnd_new,sst_new,ONI,timestamp
2,-66.0,100.0,999.44,-3.45,1.32,15.44,-1.53,1950-01-01
3,-66.0,100.0,1000.67,-5.28,2.54,15.44,-1.34,1950-02-01
4,-66.0,100.0,1000.3,-6.89,4.16,15.44,-1.16,1950-03-01
5,-66.0,100.0,1000.28,-8.66,5.65,15.44,-1.18,1950-04-01
6,-66.0,100.0,998.31,-8.55,6.36,15.44,-1.07,1950-05-01
7,-66.0,100.0,1000.45,-9.62,6.88,15.44,-0.85,1950-06-01
8,-66.0,100.0,1000.07,-9.37,7.2,15.44,-0.54,1950-07-01
9,-66.0,100.0,997.28,-8.71,6.23,15.44,-0.42,1950-08-01
10,-66.0,100.0,992.0,-6.95,5.0,15.44,-0.39,1950-09-01
11,-66.0,100.0,990.72,-4.62,2.56,15.44,-0.44,1950-10-01
12,-66.0,100.0,991.2,-3.02,1.83,15.44,-0.6,1950-11-01
13,-66.0,100.0,991.71,-1.18,0.41,15.44,-0.8,1950-12-01
14,-66.0,100.0,991.46,-1.85,1.15,15.44,-0.82,1951-01-01
15,-66.0,100.0,993.13,-3.26,1.95,15.44,-0.54,1951-02-01
16,-66.0,100.0,996.26,-5.86,3.8,15.44,-0.17,1951-03-01
17,-66.0,100.0,999.84,-7.35,5.11,15.44,0.18,1951-04-01
18,-66.0,100.0,1003.93,-8.3,6.14,15.44,0.36,1951-05-01
19,-66.0,100.0,1004.8,-8.59,6.59,15.44,0.58,1951-06-01
20,-66.0,100.0,1003.73,-8.18,6.51,15.44,0.7,1951-07-01
21,-66.0,100.0,1001.37,-7.99,6.14,15.44,0.89,1951-08-01
22,-66.0,100.0,995.79,-7.09,4.8,15.44,0.99,1951-09-01
23,-66.0,100.0,991.11,-5.82,3.18,15.44,1.15,1951-10-01
24,-66.0,100.0,990.38,-3.88,1.48,15.44,1.04,1951-11-01
25,-66.0,100.0,994.95,-4.05,0.8,15.44,0.81,1951-12-01
26,-66.0,100.0,996.76,-4.65,0.97,15.44,0.53,1952-01-01
27,-66.0,100.0,997.05,-5.43,1.85,15.44,0.37,1952-02-01
28,-66.0,100.0,997.34,-6.13,3.84,15.44,0.34,1952-03-01
29,-66.0,100.0,999.27,-7.24,4.97,15.44,0.29,1952-04-01
30,-66.0,100.0,998.43,-9.12,6.28,15.44,0.2,1952-05-01
31,-66.0,100.0,997.76,-8.92,6.14,15.44,0.0,1952-06-01
32,-66.0,100.0,997.8,-8.08,6.39,15.44,-0.08,1952-07-01
33,-66.0,100.0,997.63,-7.02,5.59,15.44,0.0,1952-08-01
34,-66.0,100.0,993.16,-6.25,4.0,15.44,0.15,1952-09-01
35,-66.0,100.0,992.32,-5.64,2.33,15.44,0.1,1952-10-01
36,-66.0,100.0,994.43,-3.04,0.96,15.44,0.04,1952-11-01
37,-66.0,100.0,998.76,-2.67,0.59,15.44,0.15,1952-12-01
38,-66.0,100.0,996.99,-3.76,0.77,15.44,0.4,1953-01-01
39,-66.0,100.0,994.96,-6.46,1.98,15.44,0.6,1953-02-01
40,-66.0,100.0,994.92,-8.23,3.46,15.44,0.63,1953-03-01
41,-66.0,100.0,997.1,-8.73,5.23,15.44,0.66,1953-04-01
42,-66.0,100.0,999.8,-9.96,6.0,15.44,0.75,1953-05-01
43,-66.0,100.0,1002.52,-9.67,6.16,15.44,0.77,1953-06-01
44,-66.0,100.0,1001.04,-9.56,5.55,15.44,0.75,1953-07-01
45,-66.0,100.0,996.01,-8.16,4.81,15.44,0.73,1953-08-01
46,-66.0,100.0,991.5,-7.9,4.35,15.44,0.78,1953-09-01
47,-66.0,100.0,990.33,-5.38,3.07,15.44,0.84,1953-10-01
48,-66.0,100.0,994.47,-2.99,1.82,15.44,0.84,1953-11-01
49,-66.0,100.0,994.44,-1.38,0.16,15.44,0.81,1953-12-01
50,-66.0,100.0,995.8,-2.77,0.5,15.44,0.76,1954-01-01
51,-66.0,100.0,997.74,-5.36,1.84,15.44,0.47,1954-02-01
52,-66.0,100.0,999.89,-6.59,3.85,15.44,-0.05,1954-03-01
53,-66.0,100.0,999.62,-7.14,4.75,15.44,-0.41,1954-04-01
54,-66.0,100.0,997.85,-7.45,5.55,15.44,-0.54,1954-05-01
55,-66.0,100.0,997.76,-7.57,6.25,15.44,-0.5,1954-06-01
56,-66.0,100.0,999.97,-8.19,6.37,15.44,-0.64,1954-07-01
57,-66.0,100.0,996.77,-7.77,5.77,15.44,-0.84,1954-08-01
58,-66.0,100.0,993.28,-7.01,4.76,15.44,-0.9,1954-09-01
59,-66.0,100.0,988.53,-4.84,3.43,15.44,-0.77,1954-10-01
60,-66.0,100.0,990.88,-2.83,2.11,15.44,-0.73,1954-11-01
61,-66.0,100.0,990.75,-2.15,1.34,15.44,-0.66,1954-12-01
62,-66.0,100.0,991.54,-2.43,1.86,15.44,-0.68,1955-01-01
63,-66.0,100.0,988.6,-3.7,2.47,15.44,-0.62,1955-02-01
64,-66.0,100.0,990.89,-3.9,3.37,15.44,-0.69,1955-03-01
65,-66.0,100.0,995.33,-5.62,4.7,15.44,-0.8,1955-04-01
66,-66.0,100.0,998.99,-6.59,5.89,15.44,-0.79,1955-05-01
67,-66.0,100.0,998.02,-7.3,5.87,15.44,-0.72,1955-06-01
68,-66.0,100.0,997.88,-8.29,5.41,15.44,-0.68,1955-07-01
69,-66.0,100.0,994.87,-8.39,4.69,15.44,-0.75,1955-08-01
70,-66.0,100.0,994.89,-9.77,4.7,15.44,-1.09,1955-09-01
71,-66.0,100.0,991.45,-7.08,3.54,15.44,-1.42,1955-10-01
72,-66.0,100.0,991.43,-5.62,2.28,15.44,-1.67,1955-11-01
73,-66.0,100.0,992.46,-3.19,1.0,15.44,-1.47,1955-12-01
74,-66.0,100.0,992.94,-5.06,1.41,15.44,-1.11,1956-01-01
75,-66.0,100.0,993.97,-5.46,2.59,15.44,-0.76,1956-02-01
76,-66.0,100.0,994.44,-5.74,4.39,15.44,-0.63,1956-03-01
77,-66.0,100.0,997.47,-6.06,5.2,15.44,-0.54,1956-04-01
78,-66.0,100.0,997.78,-6.59,6.12,15.44,-0.52,1956-05-01
79,-66.0,100.0,998.89,-8.67,6.58,15.44,-0.51,1956-06-01
80,-66.0,100.0,995.93,-8.33,6.44,15.44,-0.57,1956-07-01
81,-66.0,100.0,998.63,-7.92,6.18,15.44,-0.55,1956-08-01
82,-66.0,100.0,995.75,-6.49,5.15,15.44,-0.46,1956-09-01
83,-66.0,100.0,995.12,-4.57,4.4,15.44,-0.42,1956-10-01
84,-66.0,100.0,992.15,-2.51,2.8,15.44,-0.43,1956-11-01
85,-66.0,100.0,992.66,-0.85,1.69,15.44,-0.43,1956-12-01
86,-66.0,100.0,992.25,-1.01,1.35,15.44,-0.25,1957-01-01
87,-66.0,100.0,990.71,-2.19,1.33,15.44,0.06,1957-02-01
88,-66.0,100.0,990.26,-4.95,2.63,15.44,0.41,1957-03-01
89,-66.0,100.0,992.32,-6.29,3.5,15.44,0.72,1957-04-01
90,-66.0,100.0,998.64,-7.87,5.56,15.44,0.92,1957-05-01
91,-66.0,100.0,999.59,-7.09,6.05,15.44,1.11,1957-06-01
92,-66.0,100.0,996.47,-7.23,6.22,15.44,1.25,1957-07-01
93,-66.0,100.0,987.43,-6.37,4.54,15.44,1.32,1957-08-01
94,-66.0,100.0,984.16,-5.44,3.28,15.44,1.33,1957-09-01
95,-66.0,100.0,984.84,-3.24,2.14,15.44,1.39,1957-10-01
96,-66.0,100.0,989.02,-2.21,1.5,15.44,1.53,1957-11-01
97,-66.0,100.0,990.21,-1.37,1.36,15.44,1.74,1957-12-01
98,-66.0,100.0,990.73,-2.2,1.49,15.44,1.81,1958-01-01
99,-66.0,100.0,988.72,-3.0,2.42,15.44,1.66,1958-02-01
100,-66.0,100.0,989.16,-5.31,3.95,15.44,1.27,1958-03-01
101,-66.0,100.0,990.01,-6.73,5.17,15.44,0.93,1958-04-01
102,-66.0,100.0,993.65,-7.65,6.53,15.44,0.74,1958-05-01
103,-66.0,100.0,995.99,-7.84,6.08,15.44,0.64,1958-06-01
104,-66.0,100.0,994.86,-7.57,5.99,15.44,0.57,1958-07-01
105,-66.0,100.0,990.52,-6.94,4.87,15.44,0.43,1958-08-01
106,-66.0,100.0,986.89,-6.19,4.31,15.44,0.39,1958-09-01
107,-66.0,100.0,984.26,-4.62,2.76,15.44,0.44,1958-10-01
108,-66.0,100.0,983.22,-3.93,1.16,15.44,0.5,1958-11-01
109,-66.0,100.0,983.99,-1.82,0.24,15.44,0.61,1958-12-01
110,-66.0,100.0,985.43,-1.59,0.79,15.44,0.61,1959-01-01
111,-66.0,100.0,987.55,-2.55,2.64,15.44,0.62,1959-02-01
112,-66.0,100.0,988.56,-4.64,4.01,15.44,0.52,1959-03-01
113,-66.0,100.0,992.6,-6.78,5.5,15.44,0.33,1959-04-01
114,-66.0,100.0,996.27,-7.69,6.35,15.44,0.2,1959-05-01
115,-66.0,100.0,997.21,-9.01,6.9,15.44,-0.07,1959-06-01
116,-66.0,100.0,996.09,-9.0,6.76,15.44,-0.18,1959-07-01
117,-66.0,100.0,993.22,-7.72,6.19,15.44,-0.28,1959-08-01
118,-66.0,100.0,989.76,-6.23,5.0,15.44,-0.09,1959-09-01
119,-66.0,100.0,984.93,-3.98,3.41,15.44,-0.03,1959-10-01
120,-66.0,100.0,984.94,-3.05,1.62,15.44,0.05,1959-11-01
121,-66.0,100.0,985.34,-1.97,1.01,15.44,-0.04,1959-12-01
122,-66.0,100.0,987.71,-3.01,1.45,15.44,-0.1,1960-01-01
123,-66.0,100.0,985.69,-3.48,2.78,15.44,-0.1,1960-02-01
124,-66.0,100.0,990.62,-5.13,4.62,15.44,-0.07,1960-03-01
125,-66.0,100.0,994.7,-5.98,5.96,15.44,0.03,1960-04-01
126,-66.0,100.0,998.61,-7.45,7.08,15.44,0.02,1960-05-01
127,-66.0,100.0,997.8,-7.81,7.09,15.44,0.03,1960-06-01
128,-66.0,100.0,997.91,-7.73,7.15,15.44,0.13,1960-07-01
129,-66.0,100.0,997.39,-7.97,6.36,15.44,0.24,1960-08-01
130,-66.0,100.0,993.45,-6.72,5.34,15.44,0.27,1960-09-01
131,-66.0,100.0,988.77,-5.14,3.17,15.44,0.2,1960-10-01
132,-66.0,100.0,985.1,-3.53,1.66,15.44,0.12,1960-11-01
133,-66.0,100.0,985.37,-3.19,0.84,15.44,0.05,1960-12-01
134,-66.0,100.0,988.42,-4.76,1.59,15.44,0.04,1961-01-01
135,-66.0,100.0,990.28,-5.96,2.92,15.44,0.03,1961-02-01
136,-66.0,100.0,991.84,-6.71,4.57,15.44,0.04,1961-03-01
137,-66.0,100.0,992.67,-6.78,5.72,15.44,0.09,1961-04-01
138,-66.0,100.0,995.67,-6.97,6.55,15.44,0.23,1961-05-01
139,-66.0,100.0,996.02,-7.8,6.81,15.44,0.27,1961-06-01
140,-66.0,100.0,992.46,-8.16,6.87,15.44,0.14,1961-07-01
141,-66.0,100.0,990.18,-8.39,6.28,15.44,-0.13,1961-08-01
142,-66.0,100.0,989.47,-6.53,5.51,15.44,-0.3,1961-09-01
143,-66.0,100.0,989.08,-5.1,4.32,15.44,-0.26,1961-10-01
144,-66.0,100.0,986.16,-1.92,2.6,15.44,-0.19,1961-11-01
145,-66.0,100.0,984.69,-1.08,1.24,15.44,-0.16,1961-12-01
146,-66.0,100.0,984.53,-1.02,1.21,15.44,-0.24,1962-01-01
147,-66.0,100.0,985.61,-2.34,2.11,15.44,-0.22,1962-02-01
148,-66.0,100.0,987.3,-3.63,3.74,15.44,-0.2,1962-03-01
149,-66.0,100.0,990.04,-5.29,5.46,15.44,-0.26,1962-04-01
150,-66.0,100.0,995.01,-6.9,7.06,15.44,-0.28,1962-05-01
151,-66.0,100.0,995.41,-7.7,8.12,15.44,-0.2,1962-06-01
152,-66.0,100.0,992.94,-6.82,7.18,15.44,-0.04,1962-07-01
153,-66.0,100.0,987.05,-6.31,6.35,15.44,-0.07,1962-08-01
154,-66.0,100.0,985.6,-6.06,4.81,15.44,-0.11,1962-09-01
155,-66.0,100.0,986.23,-4.5,3.54,15.44,-0.22,1962-10-01
156,-66.0,100.0,986.25,-2.88,1.91,15.44,-0.31,1962-11-01
157,-66.0,100.0,984.89,-1.16,0.63,15.44,-0.43,1962-12-01
158,-66.0,100.0,983.78,-1.0,0.89,15.44,-0.4,1963-01-01
159,-66.0,100.0,984.84,-1.49,1.89,15.44,-0.15,1963-02-01
160,-66.0,100.0,988.75,-2.96,4.16,15.44,0.15,1963-03-01
161,-66.0,100.0,994.14,-5.54,5.78,15.44,0.27,1963-04-01
162,-66.0,100.0,998.83,-8.2,6.86,15.44,0.31,1963-05-01
