,lat,lon,slp_new,uwind_new,vwnd_new,sst_new,ONI,timestamp
240564,-62.0,278.0,982.65,5.26,-1.58,4.79,-1.55,1999-01-01
240565,-62.0,278.0,985.3,6.16,-1.96,4.86,-1.3,1999-02-01
240566,-62.0,278.0,984.85,7.1,-2.14,4.16,-1.07,1999-03-01
240567,-62.0,278.0,986.59,7.09,-3.06,3.93,-0.98,1999-04-01
240568,-62.0,278.0,986.89,5.42,-2.83,3.98,-1.02,1999-05-01
240569,-62.0,278.0,987.8,4.32,-1.78,3.54,-1.04,1999-06-01
240570,-62.0,278.0,991.02,4.27,-0.6,2.97,-1.1,1999-07-01
240571,-62.0,278.0,991.4,5.12,-0.18,2.17,-1.11,1999-08-01
240572,-62.0,278.0,991.09,5.83,-1.34,2.13,-1.16,1999-09-01
240573,-62.0,278.0,986.36,5.82,-3.0,2.18,-1.26,1999-10-01
240574,-62.0,278.0,982.81,6.31,-2.95,2.62,-1.46,1999-11-01
240575,-62.0,278.0,981.23,6.03,-1.17,3.03,-1.65,1999-12-01
240576,-62.0,278.0,985.24,5.25,-0.1,3.66,-1.66,2000-01-01
240577,-62.0,278.0,989.01,3.22,-1.53,4.18,-1.41,2000-02-01
240578,-62.0,278.0,989.66,3.25,-2.86,4.69,-1.07,2000-03-01
240579,-62.0,278.0,989.58,3.72,-4.1,4.57,-0.81,2000-04-01
240580,-62.0,278.0,989.86,5.18,-2.74,3.97,-0.71,2000-05-01
240581,-62.0,278.0,993.44,3.78,-2.88,3.43,-0.64,2000-06-01
240582,-62.0,278.0,992.88,4.04,-0.84,3.39,-0.55,2000-07-01
240583,-62.0,278.0,996.21,4.67,-0.32,3.51,-0.51,2000-08-01
240584,-62.0,278.0,993.74,5.54,0.08,3.55,-0.55,2000-09-01
240585,-62.0,278.0,994.3,3.87,-0.16,3.53,-0.63,2000-10-01
240586,-62.0,278.0,988.31,1.86,0.67,3.83,-0.75,2000-11-01
240587,-62.0,278.0,987.94,0.33,1.99,4.14,-0.74,2000-12-01
240588,-62.0,278.0,984.97,0.1,2.06,4.38,-0.68,2001-01-01
240589,-62.0,278.0,983.93,1.81,1.29,4.35,-0.52,2001-02-01
240590,-62.0,278.0,984.15,3.6,0.22,3.88,-0.44,2001-03-01
240591,-62.0,278.0,985.26,4.42,-1.59,3.07,-0.34,2001-04-01
240592,-62.0,278.0,988.92,3.34,-2.07,2.36,-0.25,2001-05-01
240593,-62.0,278.0,994.61,3.29,-1.53,1.89,-0.12,2001-06-01
240594,-62.0,278.0,991.68,5.97,-0.53,1.71,-0.08,2001-07-01
240595,-62.0,278.0,990.6,7.83,-1.85,1.42,-0.13,2001-08-01
240596,-62.0,278.0,982.23,9.32,-4.12,1.46,-0.19,2001-09-01
240597,-62.0,278.0,980.62,8.02,-3.88,1.85,-0.29,2001-10-01
240598,-62.0,278.0,975.76,7.51,-3.52,2.0,-0.35,2001-11-01
240599,-62.0,278.0,977.89,5.8,-2.16,2.03,-0.31,2001-12-01
240600,-62.0,278.0,981.49,6.08,-2.76,1.98,-0.15,2002-01-01
240601,-62.0,278.0,987.64,5.42,-0.88,2.33,0.03,2002-02-01
240602,-62.0,278.0,986.93,5.59,-0.47,2.38,0.09,2002-03-01
240603,-62.0,278.0,993.85,4.46,2.85,2.04,0.2,2002-04-01
240604,-62.0,278.0,995.91,5.04,3.55,1.52,0.43,2002-05-01
240605,-62.0,278.0,998.92,5.12,2.94,1.22,0.65,2002-06-01
240606,-62.0,278.0,997.28,4.6,0.22,1.28,0.79,2002-07-01
240607,-62.0,278.0,995.88,2.66,-2.31,1.57,0.86,2002-08-01
240608,-62.0,278.0,994.72,2.44,-0.66,1.82,1.01,2002-09-01
240609,-62.0,278.0,991.63,2.49,0.44,2.05,1.21,2002-10-01
240610,-62.0,278.0,986.09,3.35,0.63,2.52,1.31,2002-11-01
240611,-62.0,278.0,985.34,2.18,0.21,3.3,1.14,2002-12-01
240612,-62.0,278.0,981.54,2.49,-1.0,4.21,0.92,2003-01-01
240613,-62.0,278.0,986.11,2.7,-0.64,4.59,0.63,2003-02-01
240614,-62.0,278.0,989.21,4.42,-1.51,4.56,0.38,2003-03-01
240615,-62.0,278.0,993.29,4.92,-1.03,4.2,-0.04,2003-04-01
240616,-62.0,278.0,993.21,4.58,-0.68,3.87,-0.26,2003-05-01
240617,-62.0,278.0,986.64,5.25,-1.3,3.46,-0.16,2003-06-01
240618,-62.0,278.0,983.43,5.84,-2.42,3.13,0.08,2003-07-01
240619,-62.0,278.0,981.14,6.8,-2.78,3.0,0.21,2003-08-01
240620,-62.0,278.0,984.26,5.56,-2.22,3.15,0.26,2003-09-01
240621,-62.0,278.0,986.3,4.94,-0.37,3.03,0.29,2003-10-01
240622,-62.0,278.0,988.66,2.79,-0.1,3.12,0.35,2003-11-01
240623,-62.0,278.0,988.12,1.98,-0.4,3.68,0.35,2003-12-01
240624,-62.0,278.0,991.18,2.21,-2.54,4.52,0.37,2004-01-01
240625,-62.0,278.0,987.48,3.64,-2.68,5.11,0.31,2004-02-01
240626,-62.0,278.0,989.7,4.1,-2.22,5.06,0.23,2004-03-01
240627,-62.0,278.0,989.31,4.47,-2.31,4.38,0.17,2004-04-01
240628,-62.0,278.0,990.06,3.79,-2.62,3.63,0.17,2004-05-01
240629,-62.0,278.0,989.99,5.43,-2.33,2.79,0.28,2004-06-01
240630,-62.0,278.0,989.24,6.79,-0.98,2.49,0.47,2004-07-01
240631,-62.0,278.0,988.71,9.06,0.18,2.14,0.64,2004-08-01
240632,-62.0,278.0,987.78,7.76,-0.67,1.94,0.7,2004-09-01
240633,-62.0,278.0,986.67,6.17,-1.78,1.9,0.67,2004-10-01
240634,-62.0,278.0,987.92,3.29,-2.4,2.36,0.66,2004-11-01
240635,-62.0,278.0,988.01,2.93,-0.9,3.07,0.69,2004-12-01
240636,-62.0,278.0,986.21,3.58,-0.89,3.7,0.64,2005-01-01
240637,-62.0,278.0,985.26,5.63,-1.67,3.85,0.58,2005-02-01
240638,-62.0,278.0,984.47,6.6,-2.25,3.58,0.45,2005-03-01
240639,-62.0,278.0,985.34,4.27,-1.33,3.38,0.43,2005-04-01
240640,-62.0,278.0,990.85,3.66,0.63,3.15,0.29,2005-05-01
240641,-62.0,278.0,994.93,3.36,0.0,2.9,0.11,2005-06-01
240642,-62.0,278.0,996.6,5.47,-0.21,2.43,-0.06,2005-07-01
240643,-62.0,278.0,994.44,4.95,-2.62,2.06,-0.14,2005-08-01
240644,-62.0,278.0,991.38,6.0,-3.68,1.97,-0.11,2005-09-01
240645,-62.0,278.0,991.93,4.88,-3.39,2.19,-0.29,2005-10-01
240646,-62.0,278.0,992.39,6.29,-2.68,2.98,-0.57,2005-11-01
240647,-62.0,278.0,993.1,4.02,-1.64,4.14,-0.84,2005-12-01
240648,-62.0,278.0,992.0,3.46,-2.18,5.13,-0.85,2006-01-01
240649,-62.0,278.0,985.08,3.63,-2.01,5.36,-0.77,2006-02-01
240650,-62.0,278.0,983.01,3.89,-2.18,4.76,-0.57,2006-03-01
240651,-62.0,278.0,980.77,5.74,-3.01,3.94,-0.37,2006-04-01
240652,-62.0,278.0,988.16,4.58,-3.52,3.1,-0.14,2006-05-01
240653,-62.0,278.0,992.8,6.38,-2.68,2.55,-0.03,2006-06-01
240654,-62.0,278.0,996.02,4.98,-2.0,2.3,0.1,2006-07-01
240655,-62.0,278.0,994.87,6.1,-0.8,2.3,0.3,2006-08-01
240656,-62.0,278.0,989.1,4.17,-2.35,2.43,0.54,2006-09-01
240657,-62.0,278.0,986.26,4.8,-1.26,2.69,0.77,2006-10-01
240658,-62.0,278.0,981.07,3.65,-1.92,3.24,0.94,2006-11-01
240659,-62.0,278.0,984.75,4.23,-0.6,3.93,0.94,2006-12-01
240660,-62.0,278.0,986.98,4.39,-0.21,4.58,0.66,2007-01-01
240661,-62.0,278.0,990.51,4.85,-0.18,4.75,0.22,2007-02-01
240662,-62.0,278.0,989.66,4.88,0.62,4.62,-0.12,2007-03-01
240663,-62.0,278.0,989.56,4.72,-1.36,4.16,-0.32,2007-04-01
240664,-62.0,278.0,989.72,4.65,-0.28,3.65,-0.38,2007-05-01
240665,-62.0,278.0,992.72,4.26,-0.03,3.04,-0.47,2007-06-01
240666,-62.0,278.0,989.25,5.29,0.81,2.46,-0.56,2007-07-01
240667,-62.0,278.0,989.37,6.77,-1.81,2.11,-0.81,2007-08-01
240668,-62.0,278.0,983.48,7.86,-2.47,2.0,-1.07,2007-09-01
240669,-62.0,278.0,987.26,6.31,-1.21,2.1,-1.34,2007-10-01
240670,-62.0,278.0,985.39,5.49,-0.14,2.44,-1.5,2007-11-01
240671,-62.0,278.0,987.44,5.55,-0.84,3.08,-1.6,2007-12-01
240672,-62.0,278.0,984.66,6.0,-2.53,3.81,-1.64,2008-01-01
240673,-62.0,278.0,985.44,5.96,-3.11,4.29,-1.52,2008-02-01
240674,-62.0,278.0,985.46,6.39,-2.61,4.25,-1.29,2008-03-01
240675,-62.0,278.0,986.27,6.97,-2.21,3.77,-1.01,2008-04-01
240676,-62.0,278.0,986.67,6.69,-2.22,3.1,-0.84,2008-05-01
240677,-62.0,278.0,988.49,4.74,-2.44,2.43,-0.61,2008-06-01
240678,-62.0,278.0,990.0,4.25,-1.44,1.98,-0.37,2008-07-01
240679,-62.0,278.0,989.88,4.26,-3.13,1.8,-0.23,2008-08-01
240680,-62.0,278.0,985.28,6.27,-3.96,1.88,-0.24,2008-09-01
240681,-62.0,278.0,980.68,6.4,-5.5,2.1,-0.35,2008-10-01
240682,-62.0,278.0,980.3,7.35,-2.86,2.53,-0.55,2008-11-01
240683,-62.0,278.0,981.26,6.76,-2.41,3.14,-0.73,2008-12-01
240684,-62.0,278.0,983.92,5.73,-1.79,3.73,-0.85,2009-01-01
240685,-62.0,278.0,982.07,4.69,-2.77,3.93,-0.79,2009-02-01
240686,-62.0,278.0,984.73,3.25,-2.1,3.71,-0.61,2009-03-01
240687,-62.0,278.0,982.87,3.95,-2.3,3.13,-0.33,2009-04-01
240688,-62.0,278.0,984.87,4.32,-1.35,2.53,0.01,2009-05-01
240689,-62.0,278.0,987.9,5.08,-0.8,2.01,0.28,2009-06-01
240690,-62.0,278.0,990.72,2.83,-0.9,1.68,0.45,2009-07-01
240691,-62.0,278.0,990.27,2.85,-1.17,1.46,0.58,2009-08-01
240692,-62.0,278.0,983.76,4.52,-1.22,1.4,0.71,2009-09-01
240693,-62.0,278.0,984.71,6.91,1.4,1.47,1.01,2009-10-01
240694,-62.0,278.0,984.86,6.82,1.82,1.85,1.36,2009-11-01
240695,-62.0,278.0,986.78,3.88,1.55,2.62,1.56,2009-12-01
240696,-62.0,278.0,988.02,2.95,0.4,3.5,1.5,2010-01-01
240697,-62.0,278.0,988.47,3.05,0.68,4.04,1.22,2010-02-01
240698,-62.0,278.0,987.79,5.17,0.06,4.11,0.84,2010-03-01
240699,-62.0,278.0,982.82,6.33,-2.04,3.74,0.35,2010-04-01
240700,-62.0,278.0,980.0,6.82,-3.41,3.32,-0.17,2010-05-01
240701,-62.0,278.0,982.58,6.46,-3.99,2.74,-0.66,2010-06-01
240702,-62.0,278.0,983.65,5.17,-3.8,2.32,-1.05,2010-07-01
240703,-62.0,278.0,985.35,4.91,-4.08,2.0,-1.35,2010-08-01
240704,-62.0,278.0,979.95,5.46,-5.23,1.96,-1.56,2010-09-01
240705,-62.0,278.0,979.32,6.99,-4.88,1.99,-1.64,2010-10-01
240706,-62.0,278.0,978.23,5.93,-2.53,2.23,-1.64,2010-11-01
240707,-62.0,278.0,983.0,3.6,-0.18,2.65,-1.59,2010-12-01
240708,-62.0,278.0,983.34,3.25,-0.94,3.37,-1.42,2011-01-01
240709,-62.0,278.0,983.58,2.55,-2.32,3.77,-1.19,2011-02-01
240710,-62.0,278.0,983.75,3.7,-1.65,3.63,-0.93,2011-03-01
240711,-62.0,278.0,982.79,3.61,-1.47,3.0,-0.73,2011-04-01
240712,-62.0,278.0,986.01,4.58,-1.1,2.39,-0.55,2011-05-01
240713,-62.0,278.0,989.39,3.71,-1.95,1.99,-0.44,2011-06-01
240714,-62.0,278.0,996.02,2.48,-1.89,1.73,-0.48,2011-07-01
240715,-62.0,278.0,996.59,2.34,-1.62,1.55,-0.62,2011-08-01
240716,-62.0,278.0,990.63,4.27,-3.43,1.51,-0.83,2011-09-01
240717,-62.0,278.0,985.62,4.68,-2.35,1.74,-1.01,2011-10-01
240718,-62.0,278.0,982.59,5.38,-4.15,2.32,-1.09,2011-11-01
240719,-62.0,278.0,985.0,5.19,-2.51,3.08,-1.04,2011-12-01
240720,-62.0,278.0,985.85,6.79,-1.72,3.73,-0.86,2012-01-01
240721,-62.0,278.0,986.6,6.32,-0.7,3.91,-0.72,2012-02-01
240722,-62.0,278.0,984.93,5.71,-1.91,3.81,-0.59,2012-03-01
240723,-62.0,278.0,984.63,4.19,-2.54,3.47,-0.47,2012-04-01
240724,-62.0,278.0,983.56,5.01,-0.0,3.02,-0.26,2012-05-01
240725,-62.0,278.0,983.67,5.51,1.59,2.44,-0.01,2012-06-01
240726,-62.0,278.0,981.17,6.19,0.55,2.0,0.25,2012-07-01
240727,-62.0,278.0,983.38,5.95,-2.22,1.8,0.37,2012-08-01
240728,-62.0,278.0,984.55,6.2,-1.63,1.71,0.37,2012-09-01
240729,-62.0,278.0,987.92,6.05,0.56,1.85,0.27,2012-10-01
240730,-62.0,278.0,990.76,5.42,2.85,2.34,0.05,2012-11-01
240731,-62.0,278.0,991.49,4.89,1.71,3.45,-0.21,2012-12-01
240732,-62.0,278.0,993.48,5.53,1.62,4.52,-0.43,2013-01-01
240733,-62.0,278.0,991.12,5.46,-1.18,5.06,-0.43,2013-02-01
240734,-62.0,278.0,987.59,6.4,-2.04,4.81,-0.34,2013-03-01
240735,-62.0,278.0,984.15,5.73,-2.87,4.18,-0.3,2013-04-01
240736,-62.0,278.0,978.69,6.15,-1.53,3.51,-0.36,2013-05-01
240737,-62.0,278.0,979.48,5.49,-0.72,2.74,-0.41,2013-06-01
240738,-62.0,278.0,980.03,4.99,-0.35,2.05,-0.4,2013-07-01
240739,-62.0,278.0,986.85,5.61,-1.33,1.53,-0.32,2013-08-01
240740,-62.0,278.0,986.88,6.01,-1.3,1.45,-0.26,2013-09-01
240741,-62.0,278.0,984.86,7.94,-1.56,1.58,-0.18,2013-10-01
240742,-62.0,278.0,983.55,6.4,0.72,2.01,-0.17,2013-11-01
240743,-62.0,278.0,985.99,4.92,1.62,2.62,-0.27,2013-12-01
240744,-62.0,278.0,989.5,3.59,1.24,3.51,-0.42,2014-01-01
240745,-62.0,278.0,987.76,5.17,0.89,3.98,-0.46,2014-02-01
240746,-62.0,278.0,987.85,6.22,-1.38,3.88,-0.27,2014-03-01
240747,-62.0,278.0,984.68,5.82,-2.48,3.33,0.04,2014-04-01
240748,-62.0,278.0,984.5,4.74,-3.8,2.69,0.21,2014-05-01
240749,-62.0,278.0,984.35,4.75,-2.61,2.18,0.16,2014-06-01
240750,-62.0,278.0,987.36,4.83,-1.61,1.82,0.05,2014-07-01
240751,-62.0,278.0,989.5,4.66,-1.39,1.64,0.07,2014-08-01
240752,-62.0,278.0,988.12,5.92,-1.14,1.6,0.23,2014-09-01
240753,-62.0,278.0,984.91,6.92,-0.95,1.68,0.49,2014-10-01
240754,-62.0,278.0,983.45,7.66,-0.5,2.06,0.64,2014-11-01
240755,-62.0,278.0,984.86,6.68,-1.55,2.66,0.66,2014-12-01
240756,-62.0,278.0,986.5,7.1,-1.98,3.27,0.55,2015-01-01
240757,-62.0,278.0,985.58,6.17,-2.59,3.54,0.47,2015-02-01
240758,-62.0,278.0,985.96,6.55,-1.99,3.37,0.53,2015-03-01
240759,-62.0,278.0,988.35,4.47,-0.8,2.85,0.7,2015-04-01
240760,-62.0,278.0,989.43,5.87,0.57,2.29,0.93,2015-05-01
240761,-62.0,278.0,988.62,5.19,1.07,1.75,1.18,2015-06-01
240762,-62.0,278.0,986.74,6.97,0.7,1.33,1.52,2015-07-01
240763,-62.0,278.0,988.81,7.61,0.69,1.06,1.86,2015-08-01
240764,-62.0,278.0,991.38,8.5,0.09,1.05,2.16,2015-09-01
240765,-62.0,278.0,990.25,9.1,-0.43,1.18,2.42,2015-10-01
240766,-62.0,278.0,988.91,7.63,-1.32,1.48,2.57,2015-11-01
240767,-62.0,278.0,988.43,7.19,-0.55,2.02,2.64,2015-12-01
240768,-62.0,278.0,989.24,5.82,-0.84,2.71,2.48,2016-01-01
240769,-62.0,278.0,986.63,6.91,-2.07,3.2,2.14,2016-02-01
240770,-62.0,278.0,987.39,8.46,-1.55,3.17,1.58,2016-03-01
240771,-62.0,278.0,995.38,8.98,-2.69,2.88,0.94,2016-04-01
240772,-62.0,278.0,997.03,8.77,-3.6,2.61,0.39,2016-05-01
240773,-62.0,278.0,995.81,7.1,-5.74,2.47,-0.07,2016-06-01
240774,-62.0,278.0,989.94,6.65,-4.86,2.33,-0.36,2016-07-01
240775,-62.0,278.0,988.48,7.38,-5.28,2.17,-0.54,2016-08-01
240776,-62.0,278.0,986.91,6.97,-5.28,2.1,-0.63,2016-09-01
240777,-62.0,278.0,983.31,6.88,-4.76,2.19,-0.69,2016-10-01
240778,-62.0,278.0,986.05,4.45,-1.68,2.62,-0.67,2016-11-01
240779,-62.0,278.0,985.34,3.48,0.59,3.39,-0.56,2016-12-01
240780,-62.0,278.0,986.88,1.77,-0.53,4.26,-0.34,2017-01-01
240781,-62.0,278.0,987.99,1.76,-3.42,4.77,-0.16,2017-02-01
240782,-62.0,278.0,990.91,2.04,-4.52,4.73,0.05,2017-03-01
240783,-62.0,278.0,990.8,4.13,-4.1,4.23,0.2,2017-04-01
240784,-62.0,278.0,989.63,6.82,-1.12,3.59,0.3,2017-05-01
240785,-62.0,278.0,985.11,7.49,-1.38,3.0,0.31,2017-06-01
